name,zip,settlement,address,vat,euVat,email
Demo Ltd.,1119,Budapest,Fő utca 1.,12345678-1-23,,demo@platform.brandcomstudio.com
Bieco Shop Kft.,1119,Budapest,Andor utca 21/C földszint 1. ajtó,27891506-1-43,,hello@biecoshop.hu
ASK-NET Kft.,3565,Tiszalúc,Hunyadi utca 34.,24788395-2-05,,ask-net@gmail.hu
Dr. Képes és Társai Kft.,3412,Bogács,Arany János utca 17.,13759890-1-05,,drkepesildiko@gmail.com
Nagy Drótfonó Kft.,7815,Harkány,Petőfi Sándor utca 111.,11360054-2-02,,nagydrotfonokft@gmail.com
Digiműhely Kft.,1073,Budapest,Dob utca 82. fszt. Ü-1.,25525005-2-42,,acs@freemail.hu
Giling Designe Kft.,7800,Siklós,Szársomlyó utca 2.,22753218-1-02,,standovaridiana@gmail.com
ET-AUTO Kft.,7800,Siklós,Felszabadulás utca 40-48. fsz. 2.,14831698-2-02,,tilifercsi@gmail.com
Herczeg Família Kft.,3519,Miskolc,Görömbölyi utca 8.,26197933-2-05,,herczegsuzig@gmail.com
B.JO-KER Kft.,3300,Eger,Pozsonyi utca 8.,11849146-2-10,,novi.peter@gmail.com
Hunflex Kft.,3793,Sajóecseg,Széchenyi utca 8.,23114678-2-05,,j.toth@hunflex.hu
E.M.M.L.M. Street Food Kft.,3565,Tiszalúc,Hunyadi utca 39.,32466832-2-05,,lmolnar261@gmail.com
Sándor József,3518,Miskolc,Bollóalja utca 49.,,,joesandor1987@gmail.com
