instance,name,description,fee,currency,frequency_of_payment,next_payment_date,status,type
brandcom.,Platform alapszolgáltatás,"Tartalmazza a platform alapvető szolgáltatásait: 2, korlátlan aldomain, 10 GB tárhely (honlap, e-mail fiók, adatbázis), SSL tanúsítvány (https), korlátlan e-mail fiók és alias, rendszeres biztonsági mentés, folyamatos karbantartás, továbbfejlesztés, éves rendelkezésre állás technikai kérdésekben.",30000,HUF,payment.annual,2024-12-01,1,basic
,tárhely 10 GB,,0,HUF,payment.annual,2024-12-01,1,hosting
,brandcom.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,brandcomstudio.com,,0,HUF,payment.annual,2024-12-01,1,domain
,biecoshop.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,diateka.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,webcard.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,webcard.cz,,0,HUF,payment.annual,2024-12-01,1,domain
,varosinfo.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,telepulesinfo.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,infopedia.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,futoblog.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,sportnagykovet.hu,,0,HUF,payment.annual,2024-12-01,1,domain
Harkály Gergő,Platform alapszolgáltatás,"Tartalmazza a platform alapvető szolgáltatásait: 2, korlátlan aldomain, 10 GB tárhely (honlap, e-mail fiók, adatbázis), SSL tanúsítvány (https), korlátlan e-mail fiók és alias, rendszeres biztonsági mentés, folyamatos karbantartás, továbbfejlesztés, éves rendelkezésre állás technikai kérdésekben.",30000,HUF,payment.annual,2024-12-01,1,basic
,tárhely 10 GB,,0,HUF,payment.annual,2024-12-01,1,hosting
,harkalygergo.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,harkaly.eu,,0,HUF,payment.annual,2024-12-01,1,domain
ASK-NET,Platform alapszolgáltatás,"Tartalmazza a platform alapvető szolgáltatásait: 2, korlátlan aldomain, 10 GB tárhely (honlap, e-mail fiók, adatbázis), SSL tanúsítvány (https), korlátlan e-mail fiók és alias, rendszeres biztonsági mentés, folyamatos karbantartás, továbbfejlesztés, éves rendelkezésre állás technikai kérdésekben.",30000,HUF,payment.annual,2024-12-01,1,basic
,tárhely 10 GB,,0,HUF,payment.annual,2024-12-01,1,hosting
,ask-net.hu,,0,HUF,payment.annual,2024-12-01,1,domain
Vitalitásház,Platform alapszolgáltatás,"Tartalmazza a platform alapvető szolgáltatásait: 2, korlátlan aldomain, 10 GB tárhely (honlap, e-mail fiók, adatbázis), SSL tanúsítvány (https), korlátlan e-mail fiók és alias, rendszeres biztonsági mentés, folyamatos karbantartás, továbbfejlesztés, éves rendelkezésre állás technikai kérdésekben.",30000,HUF,payment.annual,2024-12-01,1,basic
,tárhely 10 GB,,0,HUF,payment.annual,2024-12-01,1,hosting
,bogacsigyogycentrum.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,vitalitashaz.hu,,0,HUF,payment.annual,2024-12-01,1,domain
Nagy Drótfonó,Platform alapszolgáltatás,"Tartalmazza a platform alapvető szolgáltatásait: 2, korlátlan aldomain, 10 GB tárhely (honlap, e-mail fiók, adatbázis), SSL tanúsítvány (https), korlátlan e-mail fiók és alias, rendszeres biztonsági mentés, folyamatos karbantartás, továbbfejlesztés, éves rendelkezésre állás technikai kérdésekben.",30000,HUF,payment.annual,2024-12-01,1,basic
,tárhely 10 GB,,0,HUF,payment.annual,2024-12-01,1,hosting
,nagydrotfono.hu,,0,HUF,payment.annual,2024-12-01,1,domain
Digiműhely,Platform alapszolgáltatás,"Tartalmazza a platform alapvető szolgáltatásait: 2, korlátlan aldomain, 10 GB tárhely (honlap, e-mail fiók, adatbázis), SSL tanúsítvány (https), korlátlan e-mail fiók és alias, rendszeres biztonsági mentés, folyamatos karbantartás, továbbfejlesztés, éves rendelkezésre állás technikai kérdésekben.",30000,HUF,payment.annual,2024-12-01,1,basic
,tárhely 10 GB,,0,HUF,payment.annual,2024-12-01,1,hosting
,digimuhely.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,helloled.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,beolina.hu,,3000,HUF,payment.annual,2024-12-01,1,domain
